8192 NumPy,8192 CuPy,8192 OpenCL (CPU),8192 OpenCL (GPU),16384 NumPy,16384 CuPy,16384 OpenCL (CPU),16384 OpenCL (GPU),32768 NumPy,32768 CuPy,32768 OpenCL (CPU),32768 OpenCL (GPU),65536 NumPy,65536 CuPy,65536 OpenCL (CPU),65536 OpenCL (GPU),131072 OpenCL (GPU),131072 NumPy,131072 CuPy,131072 OpenCL (CPU),262144 NumPy,262144 CuPy,262144 OpenCL (CPU),262144 OpenCL (GPU)
1.775988579,3.120979309,7.997179985,2.771219969,5.220968485,5.311968565,19.65060806,7.003195047,16.94690275,10.29193854,50.80969381,24.34985304,68.25158405,20.78686881,140.6316993,98.59808803,662.8530567,867.6431334,40.95776248,647.5666676,3322.935683,88.08676744,2229.345536,1789.012974
1.8119874,3.123979568,8.108911991,2.774924994,5.220968723,5.319968939,19.75758266,7.033068895,16.95090175,10.37093878,51.64299917,24.70983839,75.32354045,20.93986797,142.4111035,99.18931031,664.4210203,868.3410223,40.99910569,652.0692074,3364.658569,88.18774128,2230.542624,1792.523114
1.812988281,3.123980284,8.126494884,2.78099823,5.221967459,5.32196784,19.76634336,7.03360796,16.98090148,10.37193656,51.73920631,24.81285048,77.02853656,20.94186783,142.6351314,99.21799135,664.5972619,868.6651547,41.10376143,652.4873469,3366.490935,88.21729231,2235.242264,1793.322742
1.813988447,3.137979746,8.1377666,2.792131424,5.225969315,5.324969292,19.83113766,7.090040445,16.98190093,10.39393735,51.80569959,24.81684923,77.19769835,20.9589045,142.8281581,99.28547168,665.2438655,872.6694036,41.11510682,653.8705394,3371.872192,88.24667835,2238.203002,1793.792955
1.816988707,3.141979694,8.140840292,2.794266462,5.227968216,5.326970577,19.89324784,7.150678158,16.98490143,10.44693708,51.86668873,24.91485071,77.25451231,20.98186755,142.8991001,99.51388788,666.0356145,872.9698815,41.19279861,654.6242969,3372.117119,88.29247165,2241.572978,1793.857908
1.817989111,3.148939133,8.168228149,2.798523903,5.230969191,5.331968546,19.91507459,7.152738333,16.9948976,10.45393968,51.87569928,24.93685055,77.26752925,20.99986792,143.3321736,99.62802839,666.3666677,875.8249395,41.1931076,654.7395852,3375.92144,88.3698926,2246.38105,1794.398996
1.818988085,3.151979923,8.221995592,2.799699306,5.234967709,5.337968588,19.96622801,7.160130739,16.99790144,10.47493649,51.94668865,25.0968883,77.27652836,21.03187943,143.6052656,99.64213777,666.3911247,879.0014343,41.21310711,655.5529027,3380.586602,88.42736363,2246.488152,1794.515344
1.820989609,3.152979374,8.236910105,2.800332546,5.236968994,5.337969065,19.97932339,7.170124292,17.013901,10.48193812,52.21269536,25.14984941,77.47052693,21.04686689,143.7340946,99.78365326,666.3961878,879.8243101,41.22910523,656.1051097,3380.937464,88.64668059,2252.945837,1794.630901
1.821987391,3.152980804,8.244965792,2.801040888,5.23796773,5.341967344,20.00667477,7.182765484,17.01690149,10.48593688,52.23169827,25.15185046,77.53152704,21.0478673,143.9491508,99.85761929,667.1076572,879.8349156,41.25247836,656.2534335,3383.034818,88.6559608,2253.2281,1794.669118
1.822987318,3.153979778,8.256125689,2.801278591,5.238968849,5.346967697,20.03667736,7.183259726,17.02890086,10.49893665,52.25569701,25.20184851,77.62552667,21.04787183,144.1047244,99.97258258,667.1815641,879.8368831,41.26024771,656.6603804,3383.88616,88.67189312,2253.555717,1795.040816
